id;type;age;countryISO;allTimeLevelsPlayed;currentMaxLevel;currentTotalPoints;gender;latestLevelPlayed
847754ab-f4d0-4417-9010-e2615c7e4abf;sortingGameUserMetrics;20;ES;1;1;96;male;
6c6911eb-a314-40b2-960c-94017fe2e942;sortingGameUserMetrics;;;11;9;1786;;
051b5d3e-f4bb-43f2-a49a-e569bfbb8190;sortingGameUserMetrics;28;ES;19;15;3312;male;
784a9ca2-24f6-40ba-b5eb-350ae1fe1607;sortingGameUserMetrics;16;GR;19;12;3074;male;
8d0644c0-d905-4f31-8030-4c4cd15380a8;sortingGameUserMetrics;16;GR;16;14;2730;female;
33c138b0-a950-413a-b2cd-37bbea14bd0f;sortingGameUserMetrics;12;ES;22;17;3550;male;
861be81f-c5ee-4522-92ef-45053b99f440;sortingGameUserMetrics;15;GR;;;;male;
60e2f482-dd65-41df-85b8-53865e1320c6;sortingGameUserMetrics;unspecified;GR;42;26;6324;male;
9fa29c9d-f0aa-4cf6-93e0-07688635b711;sortingGameUserMetrics;38;ES;22;16;2277;female;
a5f297e1-2ef3-45f6-b084-0513843a2f8a;sortingGameUserMetrics;15;GR;39;26;7715;male;
519f43e6-f32c-4f1d-9523-f507128db49d;sortingGameUserMetrics;;;4;4;465;;
b54d4d2b-a9b5-41be-bfe4-f96526ba3faa;sortingGameUserMetrics;12;ES;24;18;2846;unspecified;
40f0b1fc-945b-4144-bbc6-b69f357c08ba;sortingGameUserMetrics;12;ES;1;1;128;male;
a0ae99e9-1201-42f8-9857-f01d58bc0218;sortingGameUserMetrics;26;ES;6;5;1354;male;
9d4825cf-f4f2-4613-8c79-a3d30c9e840d;sortingGameUserMetrics;;;5;3;308;;
808d1c77-8cef-4d23-8aa7-e96289d7786a;sortingGameUserMetrics;20;ES;34;26;6306;female;
a62c74e8-22da-47ca-a950-a1f6bc44787e;sortingGameUserMetrics;51;ES;2;2;217;female;
2dfb9d1f-61cf-4d18-a8b5-2db08026ec21;sortingGameUserMetrics;unspecified;GR;11;10;1627;female;
a9d10e50-bc45-4699-8359-475e37a0e28c;sortingGameUserMetrics;12;ES;12;8;1669;female;
132a3f2e-956b-499e-8f9a-496f70278e94;sortingGameUserMetrics;15;GR;20;17;3993;male;
d3d27312-cd38-400c-9d32-7788961b8fdd;sortingGameUserMetrics;16;GR;11;10;1877;female;
2ac812ef-c912-4e01-9334-08ae68d8ce17;sortingGameUserMetrics;15;GR;13;11;1882;male;
68e1ddfd-b421-43cb-aafb-0b0b434c5b9c;sortingGameUserMetrics;18;GR;8;7;1179;female;
f68f4b1e-3f97-4e53-8623-2a4439369167;sortingGameUserMetrics;2;ES;;;;female;
31c9c51c-484d-4074-8374-e7f9e399a32e;sortingGameUserMetrics;40;ES;32;26;9240;male;
2cfc5c40-7f06-41e5-81c9-09f3b981b19a;sortingGameUserMetrics;6;PT;3;3;368;female;
fd0fbe61-508a-4bb1-a342-b7a7714a239f;sortingGameUserMetrics;14;ES;8;5;771;male;
16ba08ca-0929-4239-a733-280a3fded4de;sortingGameUserMetrics;12;ES;;;;male;
29252036-809e-44e0-bec2-4c068b22f36c;sortingGameUserMetrics;48;PT;2;2;196;female;
ba5fa3b7-d463-4230-935c-4b7235b50b66;sortingGameUserMetrics;9;ES;11;9;1171;male;
4392a569-46a8-4322-9c25-c4e52839e6d6;sortingGameUserMetrics;9;ES;;;;female;
f440ea65-3b44-4ffb-b3e3-ada7421374f2;sortingGameUserMetrics;9;ES;22;10;1798;female;
3cb3f1ab-3d5c-426b-9eb1-27ad1cb7529c;sortingGameUserMetrics;unspecified;ES;13;7;1095;female;
a227c389-ecbc-40d8-81a6-efe7605f8c5c;sortingGameUserMetrics;10;ES;5;5;448;female;
a3a29c99-8243-4317-98ac-adbdb9aa9521;sortingGameUserMetrics;8;ES;35;26;3295;female;
c030782c-e639-4563-84ff-9308e2b12a9e;sortingGameUserMetrics;10;ES;;;;female;
33958572-e265-4684-b967-5e39911b628b;sortingGameUserMetrics;16;GR;1;1;85;male;
fdb39e90-040f-419e-9b98-45eafd640bbc;sortingGameUserMetrics;12;ES;6;5;952;male;
bec87b53-9580-4fef-9a00-440ce4fd83a8;sortingGameUserMetrics;12;ES;6;5;467;female;
6b5fc796-ea83-4656-998a-76e1a4454bbe;sortingGameUserMetrics;12;ES;1;1;95;male;
58e29be7-ea13-42d2-8ec8-7c13192180f6;sortingGameUserMetrics;12;ES;3;3;357;male;
75a35fc8-dd0a-413f-b3b2-8a769caa39d9;sortingGameUserMetrics;13;ES;4;3;301;male;
c8719d7d-bbca-4b02-8219-3d1809c21ff2;sortingGameUserMetrics;18;ES;8;7;867;male;
b2bdbb2d-667c-40d7-8883-aeef95f78dc7;sortingGameUserMetrics;13;ES;8;7;864;female;
e72d37a7-e5d5-40a6-9bc4-df0c1ffb1a04;sortingGameUserMetrics;12;ES;7;6;1033;female;
e3328e95-063f-413c-8d49-d29679a6dc8b;sortingGameUserMetrics;87;ES;2;2;154;female;
9f8d76ab-88f0-4859-a512-ce850844cc60;sortingGameUserMetrics;12;ES;6;5;903;female;
c8778dad-c057-4f31-9d2f-32147f71c1a1;sortingGameUserMetrics;12;ES;5;5;555;male;
5e754428-0c1e-4085-9f40-1851e9ab6ea2;sortingGameUserMetrics;13;ES;1;1;0;male;
c42f166f-c2d3-4952-b1c4-559e991285e6;sortingGameUserMetrics;12;ES;;;;male;
4934cc39-a359-4d51-9644-0f40f0190684;sortingGameUserMetrics;unspecified;ES;6;5;370;male;
8d89488d-8bfa-441d-9a20-48b23264c2a3;sortingGameUserMetrics;12;ES;4;4;483;female;
d09a0f75-2e38-410a-8481-937ebd54f877;sortingGameUserMetrics;;;4;3;466;;
9834a34a-9d97-41ef-9561-8f2bf7824530;sortingGameUserMetrics;12;ES;7;5;628;male;
603514c4-2bb1-4283-9c9d-62502d6d4c2b;sortingGameUserMetrics;12;ES;1;1;80;male;
124373bb-b56b-4eeb-a959-06c042af0ed1;sortingGameUserMetrics;13;ES;1;1;77;female;
cc88a726-2332-4de4-a962-163f80a2bfd9;sortingGameUserMetrics;13;ES;6;5;579;male;
29d46a9a-8381-4a5a-abec-e36de25ab419;sortingGameUserMetrics;13;ES;7;5;701;male;
3f4ea64b-8fe7-4c2c-b3d8-35c635ddecff;sortingGameUserMetrics;12;ES;29;18;5176;female;
ea9ab15e-6f08-4008-a7d9-37dcbe43ecaa;sortingGameUserMetrics;13;ES;6;5;917;male;
01e17a77-6f59-4f38-9091-2e985f0056a0;sortingGameUserMetrics;12;ES;14;9;1870;male;
3fa0149e-6263-4292-9e97-18b60fb2c21b;sortingGameUserMetrics;12;ES;1;1;93;female;
e2daca3e-fa9b-4612-8070-1ee1341b91e3;sortingGameUserMetrics;29;IT;15;8;1490;male;
cc9f4a46-c2e1-4427-9afe-fae14b067a0a;sortingGameUserMetrics;67;PT;;;;female;
d73fefe1-e62f-4034-8a4a-5e35992c362d;sortingGameUserMetrics;;;4;4;325;;
c89d3668-5d36-4c82-8502-67e9fa81763b;sortingGameUserMetrics;unspecified;ES;1;1;78;male;
f8cf11ed-d77a-4d6c-bacb-18d261ede82a;sortingGameUserMetrics;51;PT;2;2;244;female;
d6fb5ca2-a0ca-4d7f-ab3e-9d0c9f1220e2;sortingGameUserMetrics;unspecified;ES;;;;unspecified;
008de0b3-1076-45d9-9a15-d94131f37712;sortingGameUserMetrics;unspecified;ES;4;2;152;unspecified;
e879e029-93d3-471d-a692-555a79120fd5;sortingGameUserMetrics;12;ES;3;3;407;male;
0db45c08-2f20-4437-857d-58c44b9b0d53;sortingGameUserMetrics;17;GR;6;4;576;male;
19bdb00d-ce46-4d66-b1b7-bb72c8ade43b;sortingGameUserMetrics;23;GR;3;3;367;female;
bf21ed84-540b-49ff-9793-dfa5fcc421c7;sortingGameUserMetrics;10;ES;13;11;2752;female;
d49317e8-454f-4dd0-8e3f-287d20973048;sortingGameUserMetrics;12;ES;7;5;706;male;
827ce5bd-9549-4fb3-8284-1070cd686be6;sortingGameUserMetrics;12;ES;4;3;363;female;
340a65f8-32b3-41d5-b8da-55413cd93b4e;sortingGameUserMetrics;13;ES;15;11;2362;male;
f791eb1d-2cbd-48e8-a8c8-6a7063952153;sortingGameUserMetrics;12;ES;1;1;64;female;
ede3d86b-f4b4-4773-9a2f-7421a6233c2c;sortingGameUserMetrics;13;ES;10;9;1433;male;
0aed85d3-0a4f-480f-80c2-86ece91ff3a3;sortingGameUserMetrics;12;ES;14;10;1712;male;
d0d79cf9-7a02-4be5-a70e-67ed2bc1b85a;sortingGameUserMetrics;13;ES;1;1;95;female;
02f54586-01b2-456f-afee-df8cc07e2b06;sortingGameUserMetrics;12;ES;8;4;544;female;
861b94b3-cab5-446b-9be5-7ae18a1957e6;sortingGameUserMetrics;13;ES;11;10;1825;female;
c3c3efe3-2b49-4d18-a512-5a5ec7425b1d;sortingGameUserMetrics;12;ES;12;10;2216;male;
5b4ca4ba-cd88-4a36-b1ff-dfc6ecad7eb4;sortingGameUserMetrics;12;ES;10;7;1144;male;
