TimeDate;ID;Val
27/01/2019 3:15;410;30
27/01/2019 3:30;410;30
27/01/2019 3:45;410;30
27/01/2019 4:00;410;30
27/01/2019 4:15;410;30
27/01/2019 4:30;410;30
27/01/2019 4:45;410;30
27/01/2019 5:00;410;30
27/01/2019 5:15;410;30
27/01/2019 5:30;410;30
27/01/2019 5:45;410;30
27/01/2019 6:00;410;30
27/01/2019 6:15;410;30
27/01/2019 6:30;410;30
27/01/2019 6:45;410;30
27/01/2019 7:00;410;30
27/01/2019 7:15;410;30
27/01/2019 7:30;410;30
27/01/2019 7:45;410;30
27/01/2019 8:00;410;30
27/01/2019 8:15;410;30
27/01/2019 8:30;410;30
27/01/2019 8:45;410;30
27/01/2019 9:00;410;30
27/01/2019 9:15;410;30
27/01/2019 9:30;410;30
27/01/2019 9:45;410;30
27/01/2019 10:00;410;30
27/01/2019 10:15;410;30
27/01/2019 10:30;410;30
27/01/2019 10:45;410;30
27/01/2019 11:00;410;30
27/01/2019 11:15;410;30
27/01/2019 11:30;410;30
27/01/2019 11:45;410;30
27/01/2019 12:00;410;30
27/01/2019 12:15;410;30
27/01/2019 12:30;410;30
27/01/2019 12:45;410;30
27/01/2019 13:00;410;30
27/01/2019 13:15;410;30
27/01/2019 13:30;410;30
27/01/2019 13:45;410;30
27/01/2019 14:00;410;30
27/01/2019 14:15;410;30
27/01/2019 14:30;410;30
27/01/2019 14:45;410;30
27/01/2019 15:00;410;30
27/01/2019 15:15;410;30
27/01/2019 15:30;410;30
27/01/2019 15:45;410;30
27/01/2019 16:00;410;30
27/01/2019 16:15;410;30
27/01/2019 16:30;410;30
27/01/2019 16:45;410;30
27/01/2019 17:00;410;30
27/01/2019 17:15;410;30
27/01/2019 17:30;410;30
27/01/2019 17:45;410;30
27/01/2019 18:00;410;30
27/01/2019 18:15;410;30
27/01/2019 18:30;410;30
27/01/2019 18:45;410;30
27/01/2019 19:00;410;30
27/01/2019 19:15;410;30
27/01/2019 19:30;410;30
27/01/2019 19:45;410;30
27/01/2019 20:00;410;30
27/01/2019 20:15;410;30
27/01/2019 20:30;410;30
27/01/2019 20:45;410;30
27/01/2019 21:00;410;30
27/01/2019 21:15;410;30
27/01/2019 21:30;410;30
27/01/2019 21:45;410;30
27/01/2019 22:00;410;30
27/01/2019 22:15;410;30
27/01/2019 22:30;410;30
27/01/2019 22:45;410;30
27/01/2019 23:00;410;30
27/01/2019 23:15;410;30
27/01/2019 23:30;410;30
27/01/2019 23:45;410;30
28/01/2019;410;30
28/01/2019 0:15;410;30
28/01/2019 0:30;410;30
28/01/2019 0:45;410;30
28/01/2019 1:00;410;30
28/01/2019 1:15;410;30
28/01/2019 1:30;410;30
28/01/2019 1:45;410;30
28/01/2019 2:00;410;30
28/01/2019 2:15;410;30
28/01/2019 2:30;410;30
28/01/2019 2:45;410;30
28/01/2019 3:00;410;30
28/01/2019 3:15;410;30
28/01/2019 3:30;410;30
28/01/2019 3:45;410;30
28/01/2019 4:00;410;30
28/01/2019 4:15;410;30
28/01/2019 4:30;410;30
28/01/2019 4:45;410;30
28/01/2019 5:00;410;30
28/01/2019 5:15;410;30
28/01/2019 5:30;410;30
28/01/2019 5:45;410;30
28/01/2019 6:00;410;30
28/01/2019 6:15;410;30
28/01/2019 6:30;410;30
28/01/2019 6:45;410;30
28/01/2019 7:00;410;30
28/01/2019 7:15;410;30
28/01/2019 7:30;410;30
28/01/2019 7:45;410;30
28/01/2019 8:00;410;30
28/01/2019 8:15;410;951.723.938
