id;type;Q_PreAndPost_ChangeHabits;Q_PreAndPost_SustainableWasteImportance;Q_PreAndReplay_RateHabits;Q_Replay_ChangeHabits;Q_Post_Enjoyment;Q_Post_Learning;Q_Post_Recommend;question1Pre;question2Pre;question3Pre;question4Pre;question5Pre;question6Pre;question7Pre
2dfb9d1f-61cf-4d18-a8b5-2db08026ec21;sortingGameUserQuestionnaire;4;5;5;;;;;;;;;;;
a9d10e50-bc45-4699-8359-475e37a0e28c;sortingGameUserQuestionnaire;6;1;6;6;;;;;;;;;;
132a3f2e-956b-499e-8f9a-496f70278e94;sortingGameUserQuestionnaire;5;6;4;;;;;;;;;;;
d3d27312-cd38-400c-9d32-7788961b8fdd;sortingGameUserQuestionnaire;4;6;5;;;;;;;;;;;
2ac812ef-c912-4e01-9334-08ae68d8ce17;sortingGameUserQuestionnaire;2;3;4;;;;;;;;;;;
68e1ddfd-b421-43cb-aafb-0b0b434c5b9c;sortingGameUserQuestionnaire;4;6;3;;;;;;;;;;;
31c9c51c-484d-4074-8374-e7f9e399a32e;sortingGameUserQuestionnaire;1;1;5;;5;5;6;;;;;;;
2cfc5c40-7f06-41e5-81c9-09f3b981b19a;sortingGameUserQuestionnaire;5;4;4;;;;;;;;;;;
16ba08ca-0929-4239-a733-280a3fded4de;sortingGameUserQuestionnaire;4;3;3;;;;;;;;;;;
16ba08ca-0929-4239-a733-280a3fded4de;sortingGameUserQuestionnaire;4;3;3;;;;;i%20don%27t%20do%20anything%20%23%21%21%21%20NO%20%3C%3E%20%3B%3B%3B;no;no;bla;1;bla;1
29252036-809e-44e0-bec2-4c068b22f36c;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
f440ea65-3b44-4ffb-b3e3-ada7421374f2;sortingGameUserQuestionnaire;4;4;6;;;;;;;;;;;
a227c389-ecbc-40d8-81a6-efe7605f8c5c;sortingGameUserQuestionnaire;4;1;5;;;;;;;;;;;
33958572-e265-4684-b967-5e39911b628b;sortingGameUserQuestionnaire;3;3;4;;;;;;;;;;;
58e29be7-ea13-42d2-8ec8-7c13192180f6;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
75a35fc8-dd0a-413f-b3b2-8a769caa39d9;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
6b5fc796-ea83-4656-998a-76e1a4454bbe;sortingGameUserQuestionnaire;1;5;3;;;;;;;;;;;
c8719d7d-bbca-4b02-8219-3d1809c21ff2;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
e3328e95-063f-413c-8d49-d29679a6dc8b;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
5e754428-0c1e-4085-9f40-1851e9ab6ea2;sortingGameUserQuestionnaire;4;5;5;;;;;;;;;;;
9f8d76ab-88f0-4859-a512-ce850844cc60;sortingGameUserQuestionnaire;3;2;6;;;;;;;;;;;
c8778dad-c057-4f31-9d2f-32147f71c1a1;sortingGameUserQuestionnaire;4;5;5;;;;;;;;;;;
c42f166f-c2d3-4952-b1c4-559e991285e6;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
4934cc39-a359-4d51-9644-0f40f0190684;sortingGameUserQuestionnaire;1;1;6;6;;;;;;;;;;
8d89488d-8bfa-441d-9a20-48b23264c2a3;sortingGameUserQuestionnaire;5;1;4;;;;;;;;;;;
9834a34a-9d97-41ef-9561-8f2bf7824530;sortingGameUserQuestionnaire;3;2;6;;;;;;;;;;;
603514c4-2bb1-4283-9c9d-62502d6d4c2b;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
124373bb-b56b-4eeb-a959-06c042af0ed1;sortingGameUserQuestionnaire;6;1;6;;;;;;;;;;;
cc88a726-2332-4de4-a962-163f80a2bfd9;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
29d46a9a-8381-4a5a-abec-e36de25ab419;sortingGameUserQuestionnaire;4;1;6;3;;;;;;;;;;
ea9ab15e-6f08-4008-a7d9-37dcbe43ecaa;sortingGameUserQuestionnaire;5;3;3;;;;;;;;;;;
01e17a77-6f59-4f38-9091-2e985f0056a0;sortingGameUserQuestionnaire;3;2;3;;;;;;;;;;;
77f07dc3-c626-4f1a-ab2f-64a039f91678;sortingGameUserQuestionnaire;;;6;6;;;;;;;;;;
3fa0149e-6263-4292-9e97-18b60fb2c21b;sortingGameUserQuestionnaire;6;1;6;;;;;;;;;;;
808d1c77-8cef-4d23-8aa7-e96289d7786a;sortingGameUserQuestionnaire;;;1;1;;;;;;;;;;
c89d3668-5d36-4c82-8502-67e9fa81763b;sortingGameUserQuestionnaire;6;6;4;;;;;;;;;;;
f8cf11ed-d77a-4d6c-bacb-18d261ede82a;sortingGameUserQuestionnaire;2;5;4;;;;;;;;;;;
e879e029-93d3-471d-a692-555a79120fd5;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
19bdb00d-ce46-4d66-b1b7-bb72c8ade43b;sortingGameUserQuestionnaire;5;6;4;;;;;;;;;;;
bf21ed84-540b-49ff-9793-dfa5fcc421c7;sortingGameUserQuestionnaire;4;6;6;;;;;;;;;;;
d49317e8-454f-4dd0-8e3f-287d20973048;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
827ce5bd-9549-4fb3-8284-1070cd686be6;sortingGameUserQuestionnaire;6;5;5;;;;;;;;;;;
340a65f8-32b3-41d5-b8da-55413cd93b4e;sortingGameUserQuestionnaire;1;6;4;;;;;;;;;;;
f791eb1d-2cbd-48e8-a8c8-6a7063952153;sortingGameUserQuestionnaire;6;5;6;;;;;;;;;;;
0aed85d3-0a4f-480f-80c2-86ece91ff3a3;sortingGameUserQuestionnaire;1;1;1;;;;;;;;;;;
02f54586-01b2-456f-afee-df8cc07e2b06;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
ede3d86b-f4b4-4773-9a2f-7421a6233c2c;sortingGameUserQuestionnaire;6;6;4;;;;;;;;;;;
d0d79cf9-7a02-4be5-a70e-67ed2bc1b85a;sortingGameUserQuestionnaire;1;6;5;;;;;;;;;;;
c3c3efe3-2b49-4d18-a512-5a5ec7425b1d;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
861b94b3-cab5-446b-9be5-7ae18a1957e6;sortingGameUserQuestionnaire;4;4;4;;;;;;;;;;;
5b4ca4ba-cd88-4a36-b1ff-dfc6ecad7eb4;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
9decb6b2-cfaa-4b39-b5e7-75c5e806c6ed;sortingGameUserQuestionnaire;6;6;5;;;;;;;;;;;
147aaf35-e80f-423d-a476-67605d1edc07;sortingGameUserQuestionnaire;6;6;4;;;;;;;;;;;
2c3e6de7-078a-43b1-be63-4cd1e2662ccc;sortingGameUserQuestionnaire;6;5;5;;;;;;;;;;;
22da957d-cf4b-47f5-8b21-b1be5e5f94f7;sortingGameUserQuestionnaire;5;5;5;;;;;;;;;;;
da3c89be-be68-4ada-8f7c-e385ce3acce5;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
b7f79ad0-722e-43f0-9082-79268512ce5e;sortingGameUserQuestionnaire;5;6;5;;;;;;;;;;;
a8a62571-e706-4991-b087-50116f958a87;sortingGameUserQuestionnaire;3;4;5;;;;;;;;;;;
3f48a6db-cb1f-48b9-ad8c-472122f03860;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
8409e2f2-a41a-4772-969c-1509a5cd63cb;sortingGameUserQuestionnaire;5;6;4;;;;;;;;;;;
b2ef37d1-e760-40c3-9eed-17519f62a716;sortingGameUserQuestionnaire;2;2;1;;;;;;;;;;;
d73fefe1-e62f-4034-8a4a-5e35992c362d;sortingGameUserQuestionnaire;;;4;1;;;;;;;;;;
e9846649-8a2a-424d-a2db-4cf2a62aa1c1;sortingGameUserQuestionnaire;4;4;4;;;;;;;;;;;
cf9e7bb6-3173-45e9-b04a-e5a4c50ad66b;sortingGameUserQuestionnaire;1;5;5;;;;;;;;;;;
c5b3145b-64d1-445a-b9b3-32ff315f67b4;sortingGameUserQuestionnaire;5;6;4;;;;;;;;;;;
caea97cc-96ee-4cc0-ba75-0f487fda6420;sortingGameUserQuestionnaire;6;6;6;;;;;;;;;;;
556cc10a-c750-4b38-af9c-9a0956e5aa8e;sortingGameUserQuestionnaire;4;6;4;;;;;;;;;;;
ed682ba1-a0fd-4013-b5c9-7bd7bb3ec982;sortingGameUserQuestionnaire;6;6;5;;;;;;;;;;;
f1a8221b-0947-4b8d-8eee-1acdfac50bed;sortingGameUserQuestionnaire;4;5;4;;;;;;;;;;;
56590fd6-2cda-4208-9241-75bddffd7e95;sortingGameUserQuestionnaire;6;6;5;;;;;;;;;;;
417d8084-e03d-409d-ad20-bcdb6aa45e39;sortingGameUserQuestionnaire;6;5;5;6;;;;;;;;;;
1374bba8-e0c2-4539-ba3b-95a35e892315;sortingGameUserQuestionnaire;;;5;5;;;;;;;;;;
3a9f15c6-582b-4d97-975d-9d2e630c2aeb;sortingGameUserQuestionnaire;5;5;5;;;;;;;;;;;
