Id;Vehiculo;Fecha;Tag;Tipo Residuo;Tipo Contenedor;Frecuencia RSU;Municipio;Poligono;Ruta;Peso;
52404;7501JXG;20/07/2018 15:20:59;F09AA3;Fracción Resto;Cl fr 3200;5;ZAMUDIO;AREA URBANA;18;84,00;
52403;7501JXG;20/07/2018 15:20:00;F0AD36;Fracción Resto;Cl fr 3200;5;ZAMUDIO;AREA URBANA;18;52,00;
54321;1541CLM;20/07/2018 12:54:59;8BA3D3;Fracción Resto;Ct fr 800;2;ZAMUDIO;PINOA;17;11,00;
54319;1541CLM;20/07/2018 12:49:59;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;17;9,00;
54318;1541CLM;20/07/2018 12:49:00;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;17;24,00;
54317;1541CLM;20/07/2018 12:49:00;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;17;16,00;
54315;1541CLM;20/07/2018 12:47:00;8BBCE4;Fracción Resto;Ct fr 1100;2;ZAMUDIO;TORRELARRAGOITI;17;63,00;
54314;1541CLM;20/07/2018 12:45:00;8BA2D4;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;56,00;
54313;1541CLM;20/07/2018 12:44:00;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;17;114,00;
54311;1541CLM;20/07/2018 12:42:00;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;17;29,00;
54310;1541CLM;20/07/2018 12:40:59;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;17;67,00;
54309;1541CLM;20/07/2018 12:38:59;8BC597;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;145,00;
54308;1541CLM;20/07/2018 12:36:59;8EE114;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;17,00;
54305;1541CLM;20/07/2018 12:36:00;8EC27A;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;20,00;
54307;1541CLM;20/07/2018 12:36:00;8BC02B;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;29,00;
54306;1541CLM;20/07/2018 12:36:00;8BA401;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;22,00;
54302;1541CLM;20/07/2018 12:35:00;8EB4B1;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;9,00;
54304;1541CLM;20/07/2018 12:35:00;8EFEF7;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;25,00;
54303;1541CLM;20/07/2018 12:35:00;8BBDA7;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;116,00;
50682;2618JYP;20/07/2018 11:08:00;B59081;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN III;25;21,00;
54233;1541CLM;20/07/2018 10:43:59;B57D22;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;20,00;
54231;1541CLM;20/07/2018 10:43:00;B54C11;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;40,00;
54230;1541CLM;20/07/2018 10:41:59;B54D0B;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;56,00;
54229;1541CLM;20/07/2018 10:41:00;B54D06;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;20,00;
54228;1541CLM;20/07/2018 10:41:00;B54D06;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;19,00;
54227;1541CLM;20/07/2018 10:39:59;8BA61D;Fracción Resto;Ct fr 1100;2;ZAMUDIO;TORRELARRAGOITI;17;22,00;
54226;1541CLM;20/07/2018 10:36:59;B544C4;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;21,00;
54225;1541CLM;20/07/2018 10:36:00;B54456;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;26,00;
54224;1541CLM;20/07/2018 10:34:59;B55144;Fracción Resto;Ct fr 800;2;ZAMUDIO;TORRELARRAGOITI;17;38,00;
54223;1541CLM;20/07/2018 10:34:00;B590A6;Fracción Resto;Ct fr 1100;2;ZAMUDIO;TORRELARRAGOITI;17;14,00;
50657;2618JYP;20/07/2018 10:32:59;8EC253;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;25;8,00;
50656;2618JYP;20/07/2018 10:32:00;8EC253;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;25;88,00;
50655;2618JYP;20/07/2018 10:32:00;8EC2EE;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;25;40,00;
54220;1541CLM;20/07/2018 10:30:59;ZAMIR;Fracción Resto;Ct fr 360;2;ZAMUDIO;TORRELARRAGOITI;17;22,00;
50654;2618JYP;20/07/2018 10:30:00;B55125;Fracción Resto;Ct fr 800;2;ZAMUDIO;UGALDEGUREN II;25;77,00;
