Id;Vehiculo;Fecha;Tag;Tipo Residuo;Tipo Contenedor;Frecuencia RSU;Municipio;Poligono;Ruta;Peso;
21511;2618JYP;23/02/2018 07:43:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;30,00;
21490;2618JYP;23/02/2018 07:16:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;16,00;
21259;2618JYP;22/02/2018 06:58:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;34,00;
21153;2618JYP;21/02/2018 07:36:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;43,00;
21137;2618JYP;21/02/2018 07:07:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;66,00;
20979;2618JYP;20/02/2018 06:53:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;26,00;
20966;2618JYP;20/02/2018 06:29:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;52,00;
20757;2618JYP;19/02/2018 07:45:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;42,00;
20735;2618JYP;19/02/2018 07:12:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;54,00;
20611;2618JYP;16/02/2018 06:33:59;8EE178;Organico;ct org 1100;2;ZAMUDIO;UGALDEGUREN I;24;71,00;
20610;2618JYP;16/02/2018 06:29:00;B54083;Organico;ct org 1100;2;ZAMUDIO;UGALDEGUREN II;24;50,00;
20609;2618JYP;16/02/2018 06:29:00;B54083;Organico;ct org 1100;2;ZAMUDIO;UGALDEGUREN II;24;35,00;
19691;2618JYP;09/02/2018 06:40:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;53,00;
19678;2618JYP;09/02/2018 06:18:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;29,00;
19486;2618JYP;08/02/2018 07:30:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;43,00;
19467;2618JYP;08/02/2018 07:02:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;34,00;
19368;2618JYP;07/02/2018 07:25:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;36,00;
19181;2618JYP;06/02/2018 07:56:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;51,00;
19165;2618JYP;06/02/2018 07:34:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;37,00;
18977;2618JYP;05/02/2018 07:47:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;70,00;
18957;2618JYP;05/02/2018 07:16:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;78,00;
18768;2618JYP;02/02/2018 06:29:00;8EE178;Organico;ct org 1100;2;ZAMUDIO;UGALDEGUREN I;24;40,00;
18767;2618JYP;02/02/2018 06:22:59;B54083;Organico;ct org 1100;2;ZAMUDIO;UGALDEGUREN II;24;81,00;
17846;2618JYP;26/01/2018 07:32:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;43,00;
17830;2618JYP;26/01/2018 07:07:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;17;51,00;
17628;2618JYP;25/01/2018 07:18:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;78,00;
17609;2618JYP;25/01/2018 06:51:00;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;16;20,00;
17507;2618JYP;24/01/2018 07:25:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;32,00;
17490;2618JYP;24/01/2018 07:02:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;15;8,00;
17301;2618JYP;23/01/2018 07:23:59;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;45,00;
17289;2618JYP;23/01/2018 07:03:59;F07C37;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;14;61,00;
17100;2618JYP;22/01/2018 07:36:00;F0C108;Organico;ct org 1100;5;ZAMUDIO;PARQUE TECNOLOGICO;13;94,00;
