Id;Vehiculo;Fecha;Tag;Tipo Residuo;Tipo Contenedor;Frecuencia RSU;Municipio;Poligono;Ruta;Peso;
66709;2618JYP;27/09/2018 07:32:59;B590CB;Papel-Cartón;Ct pc 800;2;ZAMUDIO;UGALDEGUREN II;23;25,00;
66708;2618JYP;27/09/2018 07:32:59;B54B18;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;23;4,00;
66698;2618JYP;27/09/2018 07:25:00;B54220;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;23;38,00;
66655;2618JYP;27/09/2018 06:35:00;B54333;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN I;23;14,00;
68274;7501JXG;27/09/2018 06:08:00;F0B86C;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;SIN ASIGNAR;4;48,00;
68273;7501JXG;27/09/2018 06:06:00;F0C2B4;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;SIN ASIGNAR;4;78,00;
68272;7501JXG;27/09/2018 06:02:00;F0929A;Papel-Cartón;Cl pc 3200;3;ZAMUDIO;SIN ASIGNAR;4;44,00;
68271;7501JXG;27/09/2018 05:55:59;F0CEEB;Papel-Cartón;Cl pc 3200;6;ZAMUDIO;AREA URBANA;4;48,00;
68270;7501JXG;27/09/2018 05:55:00;F088B9;Papel-Cartón;Cl pc 3200;5;ZAMUDIO;AREA URBANA;4;6,00;
68269;7501JXG;27/09/2018 05:51:59;ZAMUP;Papel-Cartón;Cl pc 3200;4;ZAMUDIO;AREA URBANA;4;56,00;
66614;2618JYP;26/09/2018 11:42:59;ZAMIP;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;22;29,00;
66613;2618JYP;26/09/2018 11:39:59;8EDD2D;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;PINOA;22;27,00;
66612;2618JYP;26/09/2018 11:39:00;8EFFC8;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;PINOA;22;78,00;
66611;2618JYP;26/09/2018 11:35:00;8BC393;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;PINOA;22;2,00;
66610;2618JYP;26/09/2018 11:33:59;8EE15E;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;PINOA;22;47,00;
66609;2618JYP;26/09/2018 11:32:59;8EDE52;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;PINOA;22;13,00;
66608;2618JYP;26/09/2018 11:32:00;8BB871;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;PINOA;22;27,00;
66607;2618JYP;26/09/2018 11:30:59;8BAC26;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;PINOA;22;4,00;
66606;2618JYP;26/09/2018 11:30:00;8EB28A;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;PINOA;22;1,00;
66605;2618JYP;26/09/2018 11:28:00;ZAMIP;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;TORRELARRAGOITI;22;11,00;
66604;2618JYP;26/09/2018 11:24:59;8BA3E6;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;PINOA;22;12,00;
66603;2618JYP;26/09/2018 11:21:59;B54C58;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;23,00;
66602;2618JYP;26/09/2018 11:21:00;B540AD;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;52,00;
66601;2618JYP;26/09/2018 11:19:59;B5763A;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;14,00;
66600;2618JYP;26/09/2018 11:19:00;B56DB6;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;0,00;
66599;2618JYP;26/09/2018 11:19:00;B56DB6;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;40,00;
66598;2618JYP;26/09/2018 11:15:59;B57CCF;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;11,00;
66597;2618JYP;26/09/2018 11:14:00;B59075;Papel-Cartón;Ct pc 800;2;ZAMUDIO;UGALDEGUREN III;22;34,00;
66596;2618JYP;26/09/2018 11:14:00;B54221;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;56,00;
66595;2618JYP;26/09/2018 11:12:59;B54221;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;37,00;
66594;2618JYP;26/09/2018 11:12:59;B59075;Papel-Cartón;Ct pc 800;2;ZAMUDIO;UGALDEGUREN III;22;55,00;
66592;2618JYP;26/09/2018 11:12:00;B58EC0;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;57,00;
66593;2618JYP;26/09/2018 11:12:00;B550D4;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;20,00;
66591;2618JYP;26/09/2018 11:10:59;B54258;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;17,00;
66590;2618JYP;26/09/2018 11:10:00;B58EC0;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;123,00;
66589;2618JYP;26/09/2018 11:08:59;B59075;Papel-Cartón;Ct pc 800;2;ZAMUDIO;UGALDEGUREN III;22;127,00;
66588;2618JYP;26/09/2018 11:06:59;B54189;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;53,00;
66587;2618JYP;26/09/2018 11:03:00;B578EE;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;12,00;
66586;2618JYP;26/09/2018 11:01:59;B578EE;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;44,00;
66585;2618JYP;26/09/2018 11:01:00;B578CE;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;18,00;
66583;2618JYP;26/09/2018 10:59:00;B57AFE;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;4,00;
66584;2618JYP;26/09/2018 10:59:00;B54BB8;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;18,00;
66582;2618JYP;26/09/2018 10:56:00;B54A6A;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;3,00;
66581;2618JYP;26/09/2018 10:50:59;B57BC9;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN III;22;28,00;
66580;2618JYP;26/09/2018 10:50:00;B56E9B;Papel-Cartón;Ct pc 360;2;ZAMUDIO;UGALDEGUREN III;22;12,00;
66579;2618JYP;26/09/2018 10:48:59;B59010;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;31,00;
66578;2618JYP;26/09/2018 10:47:59;B54C4A;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;36,00;
66577;2618JYP;26/09/2018 10:47:00;B58FC4;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;32,00;
66576;2618JYP;26/09/2018 10:45:59;8EC449;Papel-Cartón;Ct pc 1100;2;ZAMUDIO;UGALDEGUREN II;22;17,00;
