;Vehiculo;Fecha;Tag;Frecuencia RSU;Ruta;Peso;refSortingType
202;1541CLM;25/01/2019 08:21:00;F0C108;5;17;49;SortingType:10
203;1541CLM;24/01/2019 08:55:00;F07C37;5;16;58;SortingType:10
204;1541CLM;24/01/2019 08:33:59;F0C108;5;16;64;SortingType:10
205;1541CLM;23/01/2019 08:51:00;F07C37;5;15;78;SortingType:10
206;1541CLM;23/01/2019 08:30:00;F0C108;5;15;8;SortingType:10
207;1541CLM;22/01/2019 08:57:59;F07C37;5;14;66;SortingType:10
208;1541CLM;22/01/2019 08:35:59;F0C108;5;14;35;SortingType:10
209;1541CLM;21/01/2019 08:48:59;F07C37;5;13;122;SortingType:10
210;1541CLM;21/01/2019 08:26:59;F0C108;5;13;26;SortingType:10
211;7501JXG;18/01/2019 10:47:59;ZAMIO;2;24;920;SortingType:10
212;1541CLM;18/01/2019 08:42:00;F07C37;5;17;69;SortingType:10
213;1541CLM;18/01/2019 08:21:00;F0C108;5;17;14;SortingType:10
214;1541CLM;17/01/2019 08:48:00;F07C37;5;16;22;SortingType:10
215;1541CLM;17/01/2019 08:26:00;F0C108;5;16;14;SortingType:10
216;1541CLM;16/01/2019 08:46:00;F07C37;5;15;62;SortingType:10
217;1541CLM;16/01/2019 08:26:00;F0C108;5;15;23;SortingType:10
218;1541CLM;15/01/2019 08:39:59;F0C108;5;14;23;SortingType:10
219;1541CLM;14/01/2019 08:46:00;F07C37;5;13;34;SortingType:10
220;1541CLM;14/01/2019 08:24:59;F0C108;5;13;30;SortingType:10
