;Vehiculo;Fecha;Tag;Frecuencia RSU;Ruta;Peso;refSortingType
79;2618JYP;27/12/2018 11:39:00;B57828;2;23;43;SortingType:1
80;2618JYP;27/12/2018 11:30:59;B56E59;2;23;47.9;SortingType:1
81;2618JYP;27/12/2018 11:30:59;ZAMIR;2;23;10;SortingType:1
82;2618JYP;27/12/2018 10:11:00;B57C9C;2;23;137;SortingType:1
83;1541CLM;27/12/2018 09:17:59;8BA40E;5;13;18;SortingType:1
84;1541CLM;27/12/2018 09:17:00;F0BD35;5;13;17;SortingType:1
85;1541CLM;27/12/2018 09:13:00;F08544;2;13;58;SortingType:1
86;1541CLM;27/12/2018 09:13:00;F0A6D7;2;13;14;SortingType:1
87;1541CLM;27/12/2018 09:11:59;F08CB3;2;13;30;SortingType:1
88;1541CLM;27/12/2018 09:11:00;F0BE85;5;13;0;SortingType:1
89;1541CLM;27/12/2018 09:08:00;F0CAEC;5;13;10;SortingType:1
90;1541CLM;27/12/2018 09:08:00;F08823;5;13;38;SortingType:1
91;2618JYP;27/12/2018 09:04:59;B55062;2;23;114;SortingType:1
92;1541CLM;27/12/2018 09:04:00;F0C9F7;2;13;18;SortingType:1
93;1541CLM;27/12/2018 09:02:00;F07F78;5;13;10;SortingType:1
94;1541CLM;27/12/2018 08:59:00;F08FE4;5;13;49;SortingType:1
95;1541CLM;27/12/2018 08:55:00;F0C8D2;2;13;44;SortingType:1
96;1541CLM;27/12/2018 08:51:59;F08241;6;13;140.9;SortingType:1
97;1541CLM;27/12/2018 08:51:00;F0CB40;6;13;41.9;SortingType:1
98;1541CLM;27/12/2018 08:48:00;F0C170;5;13;173;SortingType:1
99;1541CLM;27/12/2018 08:46:00;B57D33;5;13;0;SortingType:1
100;1541CLM;27/12/2018 08:41:00;F097BA;5;13;39;SortingType:1
101;1541CLM;27/12/2018 08:39:00;B543BE;5;13;21.9;SortingType:1
102;1541CLM;27/12/2018 08:35:59;F07928;5;13;10;SortingType:1
103;2618JYP;27/12/2018 08:35:00;8BBE89;2;23;68;SortingType:1
104;2618JYP;27/12/2018 08:33:59;8EC51B;2;23;70;SortingType:1
105;1541CLM;27/12/2018 08:32:59;B59654;5;13;18;SortingType:1
106;1541CLM;27/12/2018 08:30:59;F09383;5;13;32;SortingType:1
107;2618JYP;27/12/2018 08:30:59;8EFF2C;2;23;30;SortingType:1
108;2618JYP;27/12/2018 08:30:59;8EB194;2;23;28;SortingType:1
109;2618JYP;27/12/2018 08:28:59;8EB5C9;2;23;297;SortingType:1
