;Vehiculo;Fecha;Tag;Frecuencia RSU;Ruta;Peso;refSortingType
79;1541CLM;21/12/2018 09:58:00;B57F39;2;17;9;SortingType:6
80;2618JYP;21/12/2018 09:47:00;B57738;1;24;10;SortingType:6
81;2618JYP;21/12/2018 09:35:00;B595FA;2;24;28;SortingType:6
82;2618JYP;21/12/2018 09:33:59;B5440C;2;24;67;SortingType:6
83;2618JYP;21/12/2018 08:55:59;F0AC86;5;24;12;SortingType:6
84;2618JYP;21/12/2018 08:55:00;F0C2C0;5;24;12;SortingType:6
85;2618JYP;21/12/2018 08:51:00;F0BA93;2;24;125;SortingType:6
86;2618JYP;21/12/2018 08:48:59;F0B20D;6;24;32;SortingType:6
87;2618JYP;21/12/2018 08:46:00;F0896E;6;24;17;SortingType:6
88;2618JYP;21/12/2018 08:44:59;F09134;6;24;20;SortingType:6
89;2618JYP;21/12/2018 08:44:59;EFE012;6;24;32;SortingType:6
90;2618JYP;21/12/2018 08:44:00;F09D7D;6;24;11;SortingType:6
91;2618JYP;21/12/2018 08:42:59;F0841B;6;24;21;SortingType:6
92;2618JYP;21/12/2018 08:39:00;F08EAE;5;24;0;SortingType:6
93;2618JYP;21/12/2018 08:37:00;F0BA64;5;24;0;SortingType:6
94;2618JYP;21/12/2018 08:33:59;F0B726;5;24;0;SortingType:6
95;2618JYP;21/12/2018 08:33:59;F0C5CA;5;24;0;SortingType:6
96;2618JYP;21/12/2018 08:28:59;8EF3E4;5;24;0;SortingType:6
97;2618JYP;21/12/2018 08:26:00;F0897C;5;24;47;SortingType:6
98;2618JYP;21/12/2018 08:23:59;F08E0A;5;24;0;SortingType:6
99;2618JYP;21/12/2018 08:23:59;F09F84;5;24;0;SortingType:6
100;2618JYP;21/12/2018 08:21:59;F099AF;5;24;0;NaN
101;2618JYP;21/12/2018 08:03:00;F09EF9;5;24;0;SortingType:6
102;2618JYP;21/12/2018 08:03:00;F08B65;5;24;0;SortingType:6
103;2618JYP;21/12/2018 07:59:00;F0C6DD;5;24;2;SortingType:6
104;2618JYP;21/12/2018 07:57:00;F0BC67;2;24;9;SortingType:6
