X,Y,Orden_Para,POINT_X,POINT_Y,Tag,Name,refAssigne,departureP,arrivalPoi,stops,Id
-2.8612256268276,43.2950491048775,37,-2.86122562683,43.29504910490,Enva34,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.86322,43.2971489990584,39,-2.86322000000,43.29714899910,Enva35,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.859455,43.2897049990584,34,-2.85945500000,43.28970499910,Enva36,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.867195,43.2806199990584,20,-2.86719500000,43.28061999910,Enva37,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.859205,43.2784929990584,22,-2.85920500000,43.27849299910,Enva38,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.861796,43.2930159990584,42,-2.86179600000,43.29301599910,Enva08,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.860536,43.2921799990583,44,-2.86053600000,43.29217999910,Enva39,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.862765,43.2948739990583,40,-2.86276500000,43.29487399910,Enva40,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.853282,43.2762459990584,4,-2.85328200000,43.27624599910,Enva41,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.855527,43.2902119990584,31,-2.85552700000,43.29021199910,Enva42,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.85797,43.2899969990584,33,-2.85797000000,43.28999699910,Enva01,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.857471,43.2907429990584,32,-2.85747100000,43.29074299910,Enva43,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.855066,43.2927039990584,35,-2.85506600000,43.29270399910,Enva14,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.882345,43.2844209990584,23,-2.88234500000,43.28442099910,Enva44,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.862565,43.2800189990584,19,-2.86256500000,43.28001899910,Enva09,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.884546,43.2848319990584,24,-2.88454600000,43.28483199910,Enva45,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.858302,43.2922349990583,36,-2.85830200000,43.29223499910,Enva03,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.861274,43.2793469990584,21,-2.86127400000,43.27934699910,Enva46,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.86769602586017,43.2851313317115,27,-2.86769602586,43.28513133170,Enva47,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.86171595775152,43.2946311546467,41,-2.86171595775,43.29463115460,Enva12,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.86192794801191,43.2914312811201,43,-2.86192794801,43.29143128110,Enva13,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.86007000855863,43.2905184774797,45,-2.86007000856,43.29051847750,Enva11,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
-2.70817738502421,43.2032791381986,48,-2.70817738502,43.20327913820,plant,Light Packaging,TruckLightpackaging1,"{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}","{""type"":""Point"",""coordinates"":[-2.708177,43.203279]}",,32
